Load,PV_rel
1.24536134,0
0.5048828,0.004760555
1.53515626,0.030332091
0.38476562,0.057721117
0.54003906,0.080612709
0.39526368,0.089685537
0.37988282,0.080763761
0.45996092,0.05639089
0.39965822,0.024358253
0.42578124,0.002631217
0.57421876,0
0.41577148,0
0.5246582,0
1.03027344,0
0.95996094,0
1.0300293,0
0.3798828,0
0.43969726,0
0.37988282,0
0.37988282,0
0.40039062,0
0.38476562,0
0.58007812,0
0.7751465,0
0.3798828,0
0.45996094,0.002027012
0.42016602,0.016060172
0.37988282,0.036247458
0.44018554,0.04983721
0.42504882,0.056181368
1.1748047,0.052229668
1,0.03745587
1.8046875,0.016625397
1.04052734,0.001788253
1.8647461,0
1.28027342,0
1.16430664,0
0.91088868,0
0.96972656,0
1.20996094,0
0.7150879,0
1.17944336,0
0.40039062,0
